,No,내용,날짜,조회수,태그,내용1(응답)
163,2164,제가 이사갈 집을 네이버 부동산은로 알아보는중인데 주변 다 5평 원룸이 전세 1억정도 하는데좀전에 본 집은 전세 3천200에 10평짜리고방도 두개에 신축 첫 입주하는 집이더라고요아무리 봐도 주변 전세1억인 집들보다 수배는 좋은데너무 싸서 의심되네요,2022.02.22,288.0,전세,"          전세 3천200에 ---> 월세는 따로 없어요? ​뭃어보시고 만약, 월세 따로 내는게 없다면 그 원룸은 분명 문제있는 겁니다.허위 매물일 수도 있고요... ​정상가보다 낮다면 반드시 위험도 있게되요.     "
164,2165,"안녕하세요.8월달에 전세사기대출을 가담했다고경찰에 자수한 집주인 입니다.처음에는 몰랐으나 돈이입금되기 3일전에는알고 취소할수없다고 해서 가담했습니다.카카오뱅크 청년전월세보증금 1억원이고대출금이 저의 통장으로 입금된후 작업대출브로커에게 돈6천만원 명의자에게 2천만원 수수료1천만원이였지만 수수료라고 하지 않고 2천만원을 빌려주면 2천만원 내가 갚겠다고 하고 이러저러한 사정이있어서 그명의자 일자리하며 이자갚는거 까지 신경쓰고 살았다가 말도안듣고 답이없는거 같아서 자수했습니다. 돈만 잘갚으면되겠지 생각했으나 잘못된 생각이였습니다.1.자수하였는데 이번에 이사를가서 전입신고는 못하는 상황입니다. (Lh누나명의) 누나가 엘에이치전세대출받아서 살게해주고 있습니다. 전입신고는 누나가살고있는 서울집으로 하라고 했습니다.2.8월에자수를 하였고 조사는 10월에 받았습니다.적극적으로 수사에 임하였고 아는사실모두와 부족하지만 작업대출자와 브로커 부동산서류 등 모두제출하고 녹음통화도 USB 에 담았습니다.3.실형 가능성이 높을까요? 아니면 집행유예나 벌금이 나올수 있나요, (형사님은 집유 아니면 벌금이라고했습니다.)4.전입신고가 안되고 주소는 형사님께 말씀드렸고 앞뒤사정 다말씀드렸는데요, 서울집으로 우선 해놓으셔야될거 같다고하더라구요. (구속수사로 바뀔수도 있을까요? 서울집으로 해놓는다면 경찰서 이관되나요?)",끌올 2022.10.10,209.0,금융상품담보대출,         이런 경우에 사건은 초범이고 자수라면 많이 받아야 집행유예입니다. 거의 벌금 형이라 보시면 될겁니다.그러니 염려마시고 수사에 협조하시고 있이니 안심하시고 열심히 살아가세요      
165,2166,,,,,         이런 경우에 사건은 초범이고 자수라면 많이 받아야 집행유예입니다. 거의 벌금 형이라 보시면 될겁니다.그러니 염려마시고 수사에 협조하시고 있이니 안심하시고 열심히 살아가세요      
166,2167,"안녕하세요.8월달에 전세사기대출을 가담했다고경찰에 자수한 집주인 입니다.처음에는 몰랐으나 돈이입금되기 3일전에는알고 취소할수없다고 해서 가담했습니다.카카오뱅크 청년전월세보증금 1억원이고대출금이 저의 통장으로 입금된후 작업대출브로커에게 돈6천만원 명의자에게 2천만원 수수료1천만원이였지만 수수료라고 하지 않고 2천만원을 빌려주면 2천만원 내가 갚겠다고 하고 이러저러한 사정이있어서 그명의자 일자리하며 이자갚는거 까지 신경쓰고 살았다가 말도안듣고 답이없는거 같아서 자수했습니다. 돈만 잘갚으면되겠지 생각했으나 잘못된 생각이였습니다.1.자수하였는데 이번에 이사를가서 전입신고는 못하는 상황입니다. (Lh누나명의) 누나가 엘에이치전세대출받아서 살게해주고 있습니다. 전입신고는 누나가살고있는 서울집으로 하라고 했습니다.2.8월에자수를 하였고 조사는 10월에 받았습니다.적극적으로 수사에 임하였고 아는사실모두와 부족하지만 작업대출자와 브로커 부동산서류 등 모두제출하고 녹음통화도 USB 에 담았습니다.3.실형 가능성이 높을까요? 아니면 집행유예나 벌금이 나올수 있나요, (형사님은 집유 아니면 벌금이라고했습니다.)4.전입신고가 안되고 주소는 형사님께 말씀드렸고 앞뒤사정 다말씀드렸는데요, 서울집으로 우선 해놓으셔야될거 같다고하더라구요. (구속수사로 바뀔수도 있을까요? 서울집으로 해놓는다면 경찰서 이관되나요?)",끌올 2022.10.10,209.0,금융상품담보대출,         이런 경우에 사건은 초범이고 자수라면 많이 받아야 집행유예입니다. 거의 벌금 형이라 보시면 될겁니다.그러니 염려마시고 수사에 협조하시고 있이니 안심하시고 열심히 살아가세요      
167,2168,유튜브 보다가 집주인이 임차인들한테 모두 다 전세로 돈을 받은 다음에 새로 들어오는 사람한테 전부 월세로 살고 있다고 거짓말 친담에 전세계약을 하던데.. 나중에 집주인이 받은 전세금으로 보증금 돌려주기 전까지 새로운 집을 사고 나 돈없다 배쨰라 식이던데요. 집주인은 처음에 집을 근저당끼고 샀기 때문에 경매에 넘어가서 전세로 살고있던 사람들 전부 보증금을 잃을 위기에 쳐하게 된다는 내용이었습니다. 제가 궁금한거는 이렇게 그냥 경매로 넘어가도 처음 집주인은 피해보는게 없나요?(뭔가 근저당 못갚고 집은 경매로 넘어갔으니까 신용에 불량이 생기는거 아닌가..?) 그리고 이걸 예방하는 방법으로 실제로 등기를 보고 임대로 계약했는지 이름이 일치하는지를 보라고 하는데 사실 이것도 이해가 안갑니다. 애초에 집주인이 그렇게 보증금 안돌려줄려고 맘먹었으면 그런 문서도 위조해서 만들면 임차인은 무조건 사기당하는거 아닙니까? ,2021.12.18,356.0,전세,"         예방하는 방법으로 실제로 등기를 보고 임대로 계약했는지 이름이 일치하는지를 보라고 하는데  이해가 안갑니다→ 등기부열람을 할 때, (임대인의 동의를 얻어야 함)확정일자열람을 하시면 임차인(들)의 임대차계약현황을 확인할 수 있습니다. (이와같이 전문지식을 요하는 부분이 복비를 부담하더라도 부동산을 통해 계약해야하는 이유입니다.)​경매로 넘어 갔을 때 집주인은 피해보는게 없나요?(근저당 못갚고 집은 경매로 넘어갔으니까 신용에 불량이 생기는거 아닌가..?)  → 집주인은 은행에서 대출을 받아 챙겼고 거기에 더해 전세보증금까지 챙겼으니 집 시세보다 많은 돈을 챙겼다고 봐야 합니다. 그렇기에 경매에 넘어 갔더라도 손해보는 일이 없지요.  신용불량? 그런건 신경 안 씁니다.     "
168,2169,,,,,"         예방하는 방법으로 실제로 등기를 보고 임대로 계약했는지 이름이 일치하는지를 보라고 하는데  이해가 안갑니다→ 등기부열람을 할 때, (임대인의 동의를 얻어야 함)확정일자열람을 하시면 임차인(들)의 임대차계약현황을 확인할 수 있습니다. (이와같이 전문지식을 요하는 부분이 복비를 부담하더라도 부동산을 통해 계약해야하는 이유입니다.)​경매로 넘어 갔을 때 집주인은 피해보는게 없나요?(근저당 못갚고 집은 경매로 넘어갔으니까 신용에 불량이 생기는거 아닌가..?)  → 집주인은 은행에서 대출을 받아 챙겼고 거기에 더해 전세보증금까지 챙겼으니 집 시세보다 많은 돈을 챙겼다고 봐야 합니다. 그렇기에 경매에 넘어 갔더라도 손해보는 일이 없지요.  신용불량? 그런건 신경 안 씁니다.     "
169,2170,,,,,"         예방하는 방법으로 실제로 등기를 보고 임대로 계약했는지 이름이 일치하는지를 보라고 하는데  이해가 안갑니다→ 등기부열람을 할 때, (임대인의 동의를 얻어야 함)확정일자열람을 하시면 임차인(들)의 임대차계약현황을 확인할 수 있습니다. (이와같이 전문지식을 요하는 부분이 복비를 부담하더라도 부동산을 통해 계약해야하는 이유입니다.)​경매로 넘어 갔을 때 집주인은 피해보는게 없나요?(근저당 못갚고 집은 경매로 넘어갔으니까 신용에 불량이 생기는거 아닌가..?)  → 집주인은 은행에서 대출을 받아 챙겼고 거기에 더해 전세보증금까지 챙겼으니 집 시세보다 많은 돈을 챙겼다고 봐야 합니다. 그렇기에 경매에 넘어 갔더라도 손해보는 일이 없지요.  신용불량? 그런건 신경 안 씁니다.     "
170,2171,제가 이사갈 집을 네이버 부동산은로 알아보는중인데 주변 다 5평 원룸이 전세 1억정도 하는데좀전에 본 집은 전세 3천200에 10평짜리고방도 두개에 신축 첫 입주하는 집이더라고요아무리 봐도 주변 전세1억인 집들보다 수배는 좋은데너무 싸서 의심되네요,2022.02.22,288.0,전세,"          전세 3천200에 ---> 월세는 따로 없어요? ​뭃어보시고 만약, 월세 따로 내는게 없다면 그 원룸은 분명 문제있는 겁니다.허위 매물일 수도 있고요... ​정상가보다 낮다면 반드시 위험도 있게되요.     "
171,2172,"안녕하세요 대출당시 SGI 보증보험만 되는 매물이라고 하여서 질권설정을 통한 전세대출을 받았고,이사온 다음날 집주인이 변경되어 전세승계가 되었습니다.제가 이미 최대한도로 전세대출을 받아 집에 한도도 나오지 않는데, 집주인이 물상보증인으로 임차인이 월세거주중이라고 위조하여 제 3채무자가 집을 담보로 근저당을 설정하였습니다. 이럴경우 후 순위 근저당권자는 감정가액이 충족되지 않으면 무잉여 기각 처리가 된다고하는데,경매 무잉여 기각 처리가 되고난 후 제가 전세 계약을 연장하지 않고 임대인이 보증금을 반환하지 않을경우 질권설정된 전세계약 보증금 반환의무가 임차인 한테 있다고 하네요 이럴꺼면 왜 임대인 동의 얻어서 근질권설정 통지서에 동의를 구하는건지.. 참..내용 관련해서 자세히 아시는분 없을까요 ? 저는 전세 이자 하나도 안밀리고 꼬박꼬박 다내는데 진짜 어이가 없어서말이 안나오네요 ..진짜 아무리 생각해도 말이 안되는데... 아직 기간 만료가 안되서 강제 경매는 넣지 못하는데, 기간 만료되고 소송~ 강제경매 까지 보수 생각 하고있습니다 정말 정확하게 잘 아시는 변호사, 법무사 분들만답변 달아주세요 ㅠㅠ 진짜 너무힘듭니다﻿[현재 집 정리]<전세 계약서>1. 보증금: 1억 6천 800만원4천만원 (내돈)1억 2천 800만원 (대출)2. 계약기간: 21.01.13일 ~ 23.01.12일 (2년)3. 계약일자: 20.12.09일4. 전입신고: 21.01.12일5. 확정일자: 20.12.30일<매매계약서>1. 매매대금: 1억 6천 800만원2. 계약기간: 21.1.13일 ~ (전세계약승계)3. 계약날짜: 21.01.08일<등기부등본>1.소유권이전: 21.01.08일 매매21.01.13일 소유권이전2.근저당말소: 21.1.13일3.근저당설정: 21.4.5일 1억 3천만원4.임의경매설정: 21.7.13일 ㅇㅇㅇ운용회사 임의 경매개시결정 대표사진 삭제 사진 설명을 입력하세요. 대표사진 삭제사진 설명을 입력하세요.﻿",2022.02.03,1166.0,"부동산, 건축","         안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 정종욱 입니다.​전세만기 후 임차권등기명령, 전세보증금반환소송을 진행하는 방법을 고려해보셔야 할 것 같습니다. 임대인이 계약의 중요조건에 대해 기망한 사실이 있다면 현 시점에도 이를 이유로 해지하는 것이 가능합니다. 구체적인 대응방안은 관련 자료를 지참해 전문 변호사와 상담을 진행해보시는 것이 바람직합니다. ​임차권등기명령, 전세보증금반환소송에 관해서는 아래 블로그 글을 참고하시면 도움이 되실 것입니다. ​              [부동산 전문 변호사] 보증금 반환의 필수절차 - 임차권등기명령 안녕하세요. 케이엔파트너스 부동산법률연구소 입니다. 저희 부동산법률연구소는 대한변호사협회가 공식 인... blog.naver.com                 [부동산전문변호사] 전세금반환소송 어떻게 진행해야 할까? 안녕하세요~ 케이엔파트너스 부동산법률연구소 입니다. 저희 부동산법률연구소는 대한변호사협회가 공식 인... blog.naver.com            ​     "
172,2173,부동산쪽으로 잘하시는 변호사가 필요합니다.신혼부부이고 이사하고 나서 문제가 생겼습니다. 저희가 전세로 살고 있는 집이 경매로 넘어간다고 하는데집주인에게 아무리 전화해도 받질 않고 계약서에 있는 집주소로 찾아가봤더니 그집에 살고 있지 않았습니다. 가만보니 저희 말고도 사기 당한 사람이 많더군요 ㅠㅠ이런게 깡통전세 사기라고 하는것 같던데 고소하면 돈은 받을수 있나요? 경매로 넘어가면 보증금은 못받는 건가요? 못받을까봐 너무 불안하고 스트레스 받네요 일단 변호사 상담 받아야 하는건지.. 이쪽으로 잘하시는 수원부동산변호사 잘아는 분 있음 소개좀 해주세요.,2022.04.20,514.0,전세,"         요즘 전세사기 진짜 많아요. 깡통전세 사기사건도 뉴스에 종종 나오더라구요. 보통 계약하기 전에 서류 다 띠어보고 확인하고중간에 확인잘 안하는데 계약후에 의도적으로 그렇게 나쁜짓을 하는 사람들이 많다고 하네요.   부동산사건은 사건들이 일어난 시기도 굉장히 중요하고 챙길 서류도 많으니까변호사와 상담 받아보시면서 하나하나 검토해 보시는게 좋아요. 수원부동산변호사 알아보시면 저희 이모 부동산 문제 생겼을 때 도움 주신 분인데요김정찬변호사님께 연락해보세요. 부동산전문변호사 신데 아무래도 이혼전문, 형사전문처럼 부동산전문 자격있는 분이 부동산사건도 많이 다루어보셔서 더 유리하세요. 사법고시 출신변호사로 15년경력 베테랑변호사이고 승률도 높은 분이세요.   이분 깔끔하게 일 잘하시니까 연락 한 번 해보세요.몇분 상담보시고 결정하시는것도 좋아요. 어떤분은 영 아니다 싶은 분도 있더라구요. 010-8675-9707 변호사님 개인전번이에요. 전화하시면 바로 통화가능하세요.     "
173,2174,전세 중기청 80으로 대출을 받을 예정이고 전세비용은 1억 5천 미만입니다 (반전세 월10)부동산에서 꼼꼼히 확인해주시고 보증보험을 가입하는 조건으로 계약을 진행해주시기로 하셨어요건물에 융자는 없는걸로 알고있고보증보험 가입하러 은행에 내일중으로 방문하려고해요근데 요즘 전세사기나 부동산 사기가 워낙 많다보니 걱정이 되네요..은행도 부동산에서 거래를 많이한 지점으로 가라고 소개시켜주셨고 거길로 가면 진행도 더 빨리 될거라고 하시더라고요보증보험도 가입하고 융자도 없고 부동산에서는 보증보험 미 가입시 계약 파기라고 가계약 시 조건을 걸기도 했는데혹시 이런 경우에도 전세든 부동산에서든 사기 맞을 확률이 있을까요? 전세 대출이나 전세로 집을 얻는 경우가 처음이라 걱정됩니다,2022.09.05,306.0,전세,"         보증보험도 가입하고 융자도 없고 부동산에서는 보증보험 미 가입시 계약 파기라고 가계약 시 조건을 걸기도 했는데 혹시 이런 경우에도 전세든 부동산에서든 사기 맞을 확률이 있을까요? 전세 대출이나 전세로 집을 얻는 경우가 처음이라 걱정됩니다​---> 전세 사기는 거의 없는 것이므로 대출이 있는지 없는지 말로만 들을 것이 아니라 등기부를 님이 열람하여체크를 해 봐야겟지요, 권리분석을 잘못하거나 하지 않아서 보증금을 날리는 것은 전세사기가 아니라 임차인의 부주의 인 것이지요,대출이 없다고 하면 ""전세가율""을 체크하고, 전세가율이 높으면 반환보험에 가입을하는 대책을 세우면 되겠지요.     "
174,2175,"안녕하세요.8월달에 전세사기대출을 가담했다고경찰에 자수한 집주인 입니다.처음에는 몰랐으나 돈이입금되기 3일전에는알고 취소할수없다고 해서 가담했습니다.카카오뱅크 청년전월세보증금 1억원이고대출금이 저의 통장으로 입금된후 작업대출브로커에게 돈6천만원 명의자에게 2천만원 수수료1천만원이였지만 수수료라고 하지 않고 2천만원을 빌려주면 2천만원 내가 갚겠다고 하고 이러저러한 사정이있어서 그명의자 일자리하며 이자갚는거 까지 신경쓰고 살았다가 말도안듣고 답이없는거 같아서 자수했습니다. 돈만 잘갚으면되겠지 생각했으나 잘못된 생각이였습니다.1.자수하였는데 이번에 이사를가서 전입신고는 못하는 상황입니다. (Lh누나명의) 누나가 엘에이치전세대출받아서 살게해주고 있습니다. 전입신고는 누나가살고있는 서울집으로 하라고 했습니다.2.8월에자수를 하였고 조사는 10월에 받았습니다.적극적으로 수사에 임하였고 아는사실모두와 부족하지만 작업대출자와 브로커 부동산서류 등 모두제출하고 녹음통화도 USB 에 담았습니다.3.실형 가능성이 높을까요? 아니면 집행유예나 벌금이 나올수 있나요, (형사님은 집유 아니면 벌금이라고했습니다.)4.전입신고가 안되고 주소는 형사님께 말씀드렸고 앞뒤사정 다말씀드렸는데요, 서울집으로 우선 해놓으셔야될거 같다고하더라구요. (구속수사로 바뀔수도 있을까요? 서울집으로 해놓는다면 경찰서 이관되나요?)",끌올 2022.10.10,209.0,금융상품담보대출,         이런 경우에 사건은 초범이고 자수라면 많이 받아야 집행유예입니다. 거의 벌금 형이라 보시면 될겁니다.그러니 염려마시고 수사에 협조하시고 있이니 안심하시고 열심히 살아가세요      
175,2176,깡통전세사기로 전세듬 1억5천 중에서1억2천은 전세자금대출3천은 신용대출로 들어와서 이번달에 경매 넘어간다고 합니다 질문 드릴게요 현재 무직입니다.전세사기로 임대인 고소해놓은 상황입니다개인회생 하려고 하는데 질문드릴게요1.재산이 통장에 5천 정도 있는데 이거 지킬수있나요? 회생하기전에 빼놔야 하나요? 이돈을 안빼면 개인회생때 조회해서 가져가나요? 캐피탈 차도있습니다 천만원정도 달달이 갚고 현재900정도남음2.현재 무직인데 개인회생시 월급을 어느정도 하는게 가장좋을까요 1인가구 입니다3.전세자금대출은 질권설정 되있습니다 재산으로 안답죠? 4.신용대출과 전세대출을 같이 개인회생가능한가요전세금으로 쓴거라서요5. 가장중요한건 재산입니다 지킬수있는 방법알려주세요 힘들게 모은돈입니다 진짜 도와주세요광고 하지마세요 답변만 주세요,2022.05.13,438.0,"신용, 파산",         우선 너무 비관 하지마시고 길은 항상 있습니다. 도움이 필요하시면 아래링크로 연락주세요. https://open.kakao.com/o/sgTxQoUd              알뜰선불폰 010 6834 8217♡님의 오픈프로필 제트선불폰 http://pf.kakao.com/_fnjvs open.kakao.com            ​     
176,2177,제가 이사갈 집을 네이버 부동산은로 알아보는중인데 주변 다 5평 원룸이 전세 1억정도 하는데좀전에 본 집은 전세 3천200에 10평짜리고방도 두개에 신축 첫 입주하는 집이더라고요아무리 봐도 주변 전세1억인 집들보다 수배는 좋은데너무 싸서 의심되네요,2022.02.22,288.0,전세,"          전세 3천200에 ---> 월세는 따로 없어요? ​뭃어보시고 만약, 월세 따로 내는게 없다면 그 원룸은 분명 문제있는 겁니다.허위 매물일 수도 있고요... ​정상가보다 낮다면 반드시 위험도 있게되요.     "
177,2178,,,,,"          전세 3천200에 ---> 월세는 따로 없어요? ​뭃어보시고 만약, 월세 따로 내는게 없다면 그 원룸은 분명 문제있는 겁니다.허위 매물일 수도 있고요... ​정상가보다 낮다면 반드시 위험도 있게되요.     "
178,2179,보고있는곳은 임대동 소형평수보고있어요,2022.05.15,2452.0,전세,         답변합니다. 이파트도 전세임대차 계약을 체결하기전에 등기사항전부증명서를 발부받아 상대방이 소유자가 맞는지 과다한 선순위 담보물권이 설정되어 있지 않은 지 여부를 확인하고 계약을 체결해야 합니다. ​*이상입니다.      
179,2180,전세 확인 법전세계약과 등기부등본 표제부 주소지 같음전세계약자 소유권자 갑구 일치갑구에 가처분 예고등기 압류 가압류 없음을구 근저당 빨간줄로 지워져있음여기까지는 안전한 거 같은데곧 2년이고 재계약을 하려하는데명의가 사람이름이아닌네스코개발주식회사 이런 회사 이름으로 돼있습니다전세계약서와 동일하면 안전한걸까요?,2022.08.04,161.0,전세,         ​전세 확인 법전세계약과 등기부등본 표제부 주소지 같음전세계약자 소유권자 갑구 일치갑구에 가처분 예고등기 압류 가압류 없음을구 근저당 빨간줄로 지워져있음​---> 여기까진 안전해요.​네스코개발주식회사 ...법인 소유의 주택인 경우 조금 애매합니다. 등기상으로는 깔끔하고 좋은데 혹여나 잘못되서 경매로 넘어가면 저 법인의 직원 밀린 임금이 님의 순위보다 앞섭니다. ​저 회사의 재무구조 어느 정도 조사하셔서 튼튼한 회사이면 진행하셔도 됩니다. ​혹 불안하시면 전세권설정 동의 받아서 해두시면 좋고요.     
180,2181,부동산쪽으로 잘하시는 변호사가 필요합니다.신혼부부이고 이사하고 나서 문제가 생겼습니다. 저희가 전세로 살고 있는 집이 경매로 넘어간다고 하는데집주인에게 아무리 전화해도 받질 않고 계약서에 있는 집주소로 찾아가봤더니 그집에 살고 있지 않았습니다. 가만보니 저희 말고도 사기 당한 사람이 많더군요 ㅠㅠ이런게 깡통전세 사기라고 하는것 같던데 고소하면 돈은 받을수 있나요? 경매로 넘어가면 보증금은 못받는 건가요? 못받을까봐 너무 불안하고 스트레스 받네요 일단 변호사 상담 받아야 하는건지.. 이쪽으로 잘하시는 수원부동산변호사 잘아는 분 있음 소개좀 해주세요.,2022.04.20,514.0,전세,"         요즘 전세사기 진짜 많아요. 깡통전세 사기사건도 뉴스에 종종 나오더라구요. 보통 계약하기 전에 서류 다 띠어보고 확인하고중간에 확인잘 안하는데 계약후에 의도적으로 그렇게 나쁜짓을 하는 사람들이 많다고 하네요.   부동산사건은 사건들이 일어난 시기도 굉장히 중요하고 챙길 서류도 많으니까변호사와 상담 받아보시면서 하나하나 검토해 보시는게 좋아요. 수원부동산변호사 알아보시면 저희 이모 부동산 문제 생겼을 때 도움 주신 분인데요김정찬변호사님께 연락해보세요. 부동산전문변호사 신데 아무래도 이혼전문, 형사전문처럼 부동산전문 자격있는 분이 부동산사건도 많이 다루어보셔서 더 유리하세요. 사법고시 출신변호사로 15년경력 베테랑변호사이고 승률도 높은 분이세요.   이분 깔끔하게 일 잘하시니까 연락 한 번 해보세요.몇분 상담보시고 결정하시는것도 좋아요. 어떤분은 영 아니다 싶은 분도 있더라구요. 010-8675-9707 변호사님 개인전번이에요. 전화하시면 바로 통화가능하세요.     "
181,2182,,,,,"         요즘 전세사기 진짜 많아요. 깡통전세 사기사건도 뉴스에 종종 나오더라구요. 보통 계약하기 전에 서류 다 띠어보고 확인하고중간에 확인잘 안하는데 계약후에 의도적으로 그렇게 나쁜짓을 하는 사람들이 많다고 하네요.   부동산사건은 사건들이 일어난 시기도 굉장히 중요하고 챙길 서류도 많으니까변호사와 상담 받아보시면서 하나하나 검토해 보시는게 좋아요. 수원부동산변호사 알아보시면 저희 이모 부동산 문제 생겼을 때 도움 주신 분인데요김정찬변호사님께 연락해보세요. 부동산전문변호사 신데 아무래도 이혼전문, 형사전문처럼 부동산전문 자격있는 분이 부동산사건도 많이 다루어보셔서 더 유리하세요. 사법고시 출신변호사로 15년경력 베테랑변호사이고 승률도 높은 분이세요.   이분 깔끔하게 일 잘하시니까 연락 한 번 해보세요.몇분 상담보시고 결정하시는것도 좋아요. 어떤분은 영 아니다 싶은 분도 있더라구요. 010-8675-9707 변호사님 개인전번이에요. 전화하시면 바로 통화가능하세요.     "
182,2183,"중개업자가 집주인으로부터 월세로 임대받아 임차인에게는 전세로 주어 보증금 차액을 편취하는 이중계약 사례가 아닌 집주인과 중개업자가 공모하여 이미 매물에 전월세 등록된 임차인이 있음에도 임차인이 장기간 자리를 비운 것을 틈타, 새로운 임차인에게 전세를 준다면, 이러한 사기수법을 막는 방법은 없는지즉, 매물에 대한 전월세 계약현황 및 이력을 확인하는 방법이 있는지 궁금합니다임대차 정보제공 동의서 라는 방법이 있다 들었는데 그 방법은 확정일자를 부여받은 경우에만 가능하다 하고또한 등기부등본에는 소유권 보전 및 이전만 뜨는 관계로 도저히 확인할 방법이 없을 것 같아 이렇한 경우에는 어찌해야 하는지 몰라 글 올립니다",2017.04.20,492.0,월세,이중계약확인 방법이 없습니다.그래서 사실관계를 정확하게 확인하는게 중요합니다.그래야 나중에 손해배상 청구가 가능합니다.
183,2184,집주인의 인감(본인)과 집주인의 인감도장이 찍혀있는 위임장을보고 대리인과 계약을 채결했습니다.(권한은 월세 전세 관리비모두)현 공인중개사는 도망간상태이고 집주인은 인감은 준건맞지만 위임장이 사기다 자기는 인감도장을 준적이없고 위임장 자체를 쓴적도없고 위임장자체가 사기다 라고 주장하고있습니다이와 같은 경우에는 대리인이 만든 위임장이 표력이없어져 표현대리책임을 할수없는 부분인가요 ?구제는 어떻게 해야되는지 알고싶습니다.. 전 임대인과 싸울생각입니다 ,2019.03.04,360.0,계약,"질문에 답변드리겟습니다.집주인이 인감을 중개업자에게 주었다면 그 물건에 대해서 어느 정도 관리, 계약체결권한 등을 위임한 것으로 보여 표현대리에 해당되어 보입니다. 따라서 이 사건과 관련된 녹취록, 관련 문서 등을 가지고 주변 법률전문가와 상담을 받아보신 후 조치를 취하시는 것이 바람직합니다."
184,2185,"2012년 11월 행**공인중개사에 월세놓을 아파트 매입을 의뢰하여 굿*공인중개사에 월세 세입자가있는 아파트을 소개 받아 행**공인중개사와 굿*공중개사 소개로 8100만원에 집사랍 명의로 매입하게 되었고 매도인(김**)에게 계약금 800만원, 중도금 2000만원 입금 하였으며 잔금 5300만원중 월세 보증금및 월세선불 535만원과 융자상환금 17,735,000원(신*진 입금 근저상설정 해지) 제외한 금액 3000만원을 매도인에게 입금하였으며 다음날 집사람이 굿*공인중개사에 방문하여 월세계약을 다시 썼는데 계약서에 임차인 도장이 찍혀 있었고 행**공인중개사 도장도 찍혀 있어 물어보니 찍고 갔다고 해 계약서에 도장찍고 3년간 임차인 이름으로 제 통장에 입금이 잘되고 있어고 4년차부터 입금이 잘되지 않아 임차인에게 찿아 갔는데 전세로 계약하고 2010년8월에 계약하고 살고 있고 월세는 입금 한적도 없다고 하네요 계약서도 매도인(김**)과 3700만원에 계약한 계약서만 가지고 있고 굿*공인중개사에게는 집주인이 바뀌었는 말만 들었다고 하네요 전세보증금은 누구에게 입금했냐 물어보니 아파트 매도인 김**에게 입금 했다고 하고 굿* 공인중개사는 구속되어 있다고 하는데 전세보증금은 누가 보상을 해주어야하는지 알고 싶습니다 또한 임차인는 어떻게 해야하는지도요 내보내고 새로운 세입자을 받아야 하는데",2016.07.25,426.0,임대차,결론은 굿공인중개사가 대리 계약으로 목돈 챙기고월세 조금씩 내다가 벌려놓은 다른 건 때문에구속된 상황으로 보이네요질문하신분의 세입자에 대한 보증금 반환 채무는부인하기 어려울 것으로 예상됩니다      
185,2186,"상가주택을 소유하고 있는중이며 뒷쪽편 주택은 저희가 살고있으며 도로편으로 상가가 있습니다. 작년 9월에 2년계약으로 도로변으로 나 있는 상가를 임대해줬습니다. 불법인줄은 알지만 통상적으로들 하는걸로만 알고 전세계약서, 월세계약서 이중계약서를 썼습니다.(이전에 들어온 세입자들이 당연한듯 계속 써주었습니다)정확하게는 반전세계약서(매우 적은수준의 월세)와 월세계약서(실제 받고있는 월세와 동일한) 이렇게 계약되어있습니다. 이번 세입자와 이런저런 생활의 불편함때문에 트러블이 자꾸 생기고 특히 월세를 계속 한달씩 늦게 주는문제, 소음 문제 등.. 이야기를 하다보니 세입자가 이중계약건에 대해서 신고를 한다는 식으로 협박을 합니다.  일반적으론 세입자가 으레 약자가 되는 편이겠지만... 오히려 저희가.. 퇴직금을 탈탈 끌어모아 억지로 돈 끼워맞춰서 임대료 받아서 노후를 보내자고 상가주택을 산... 서민이라고 봐야할테구요 세입자가 여러군데 가게를 소유하고 크게 장사를 하고 있는 사람입니다. 사장은 서울에 있고 (이 질문의 상가주택은 대구) 전무가 앞에 가게를 관리하더군요 그러다보니 이런저런 법에 대해서 저희보다 훨씬 잘 알고 있는것 같습니다.  지금이라도 저희가 자진신고시.. 제가 알고 있는 10% 세금(이부분도 정확하게 맞는지 모르겠습니다. 월 120 받으면 월 12만원에 해당하는 금액만 내면 되는지요?)에 해당하는 금액 분만 내면 되는가요? 아니면 자진신고라 할지라도 이미 위법을 했으므로 추가로 벌금도 나오게 될까요?  다른것 없습니다. 이중계약이란것에 대해서 심각하게 생각못하고 있다가.. 이전의 세입자들과 다르게.. 생활상 불편함이 너무 큰 부분이 생겨서 뭐 하나 싫은 소리 해볼려고 해도 그러지를 못하고 있습니다. 당당하게 월세 제때내라.. 소음 내지 않도록 해달라 얘기를 하고 싶네요",2010.08.07,1108.0,임대차,"안녕하세요?THE BEST 공인중개사입니다. 1. 지금부터 바로 잡으면 됩니다. 2. 월 120만원 X 12개월 = 1,440만원으로 간이과세대상입니다. 3. 따라서 님이 간이과세에 해당하므로 부가세 10%가 아닌 3%만 납부하면됩니다.   만약에 일반과세자인 경우에는 세입자에게 부가세 10%를 추가로 납부할 것을 주장하면 됩니다. 4. 또한 6개월간 매출이 1,200만원 이하이므로 세금납부의무도 없습니다. 너무 불안해 하지 마시고 원칙대로 진행하시기 바랍니다. 고맙습니다."
